No.,Wavelength,T_M1c,Trans_M8D,Trans_M3A,Trans_M92,Visible
1,900,0.9819,50.3575,91.3959,82.2167,0
2,897,0.9803,50.3631,91.0899,82.2003,0
3,894,0.9759,50.4497,91.0434,82.1531,1
4,891,0.9746,50.5051,90.9438,82.31,0
5,888,0.9694,50.4568,90.8506,82.1974,0
6,885,0.9684,50.4539,90.8685,82.1708,0
7,882,0.9628,50.3488,90.446,81.7074,0
8,879,0.9543,50.3262,90.1548,81.5951,0
9,876,0.9486,50.3751,89.865,81.7095,0
10,873,0.9427,50.278,89.9299,81.5132,0
11,870,0.9387,50.1468,89.8281,81.4374,0
12,867,0.9315,50.2785,89.5899,81.4463,0
13,864,0.9241,50.4596,89.4954,81.2793,0
14,861,0.9156,50.4315,89.4902,81.3218,0
15,858,0.9033,50.3851,89.1937,81.316,0
16,855,0.8937,50.4231,89.0426,81.2084,0
17,852,0.8778,50.4033,88.9116,81.1065,0
18,849,0.8513,50.407,88.5705,80.9648,0
19,846,0.8168,50.3922,88.1818,80.7845,0
20,843,0.7754,50.4584,88.2509,80.8119,0
21,840,0.717,50.4983,88.1544,80.7503,0
22,837,0.6512,50.4594,87.9349,80.7136,0
23,834,0.5624,50.2636,87.6219,80.6002,0
24,831,0.4677,50.1797,87.4031,80.3057,0
25,828,0.3537,50.2152,87.2437,80.2327,0
26,825,0.2636,50.1841,86.906,80.0243,0
27,822,0.2057,50.2324,86.8886,80.0016,0
28,819,0.1781,50.1194,86.6111,80.03,0
29,816,0.1668,50.0477,86.49,79.7887,0
30,813,0.1638,50.0682,86.3433,79.6631,0
31,810,0.1604,50.0821,86.0045,79.5738,0
32,807,0.1606,50.0859,85.948,79.4935,0
33,804,0.1606,50.0621,85.755,79.4502,0
34,801,0.1609,50.0393,85.5846,79.1741,0
35,798,0.1609,49.993,85.282,79.0407,0
36,795,0.1607,49.9761,85.0906,78.8889,0
37,792,0.1608,50.1072,85.0151,79.0084,0
38,789,0.1603,50.0752,84.8116,78.7807,0
39,786,0.163,50.107,84.6503,78.6689,0
40,783,0.1624,50.039,84.4938,78.5806,0
41,780,0.1619,50.0107,84.3844,78.5389,0
42,777,0.1639,50.0104,84.1174,78.2601,0
43,774,0.1661,50.102,83.9832,78.2305,0
44,771,0.1652,50.0157,83.6983,78.1591,0
45,768,0.164,49.9875,83.4292,77.8482,0
46,765,0.1635,50.0477,83.411,77.8577,0
47,762,0.1631,50.0321,83.2585,77.8188,0
48,759,0.1644,50.0548,82.9427,77.645,0
49,756,0.1634,50.0766,82.7545,77.5295,0
50,753,0.1633,49.9233,82.3823,77.3197,0
51,750,0.1649,49.9612,82.279,77.1563,0
52,747,0.1618,49.8287,81.9791,76.9648,0
53,744,0.1638,49.9462,81.9084,76.99,0
54,741,0.1653,49.9334,81.6165,76.8634,0
55,738,0.1623,49.8422,81.4078,76.673,0
56,735,0.164,49.898,81.2173,76.6956,0
57,732,0.1656,49.8583,80.9572,76.5462,0
58,729,0.1633,49.8002,80.6557,76.3718,0
59,726,0.1652,49.7395,80.3126,76.1023,0
60,723,0.1634,49.7947,80.2816,76.1376,0
61,720,0.1656,49.7289,79.8849,75.8454,0
62,717,0.168,49.6701,79.7754,75.8084,0
63,714,0.1667,49.7317,79.704,75.7481,0
64,711,0.1694,49.6854,79.3982,75.6554,0
65,708,0.1686,49.6547,79.1238,75.4176,0
66,705,0.1685,49.681,79.009,75.4183,0
67,702,0.1682,49.5193,78.6613,75.2123,0
68,699,0.1685,49.4964,78.394,75.1354,0
69,696,0.1651,49.3919,78.1612,75,0
70,693,0.1663,49.3794,78.0076,74.9128,0
71,690,0.1677,49.4518,77.7941,74.82,0
72,687,0.1653,49.3741,77.5955,74.7118,0
73,684,0.1675,49.374,77.5093,74.687,0
74,681,0.1652,49.2903,77.2021,74.5202,0
75,678,0.1673,49.2728,77.1247,74.4991,0
76,675,0.165,49.3398,76.9675,74.3919,0
77,672,0.1667,49.3377,76.748,74.3355,0
78,669,0.1679,49.2333,76.5345,74.2499,0
79,666,0.1687,49.1454,76.3374,74.1754,0
80,663,0.169,49.1994,76.3856,74.1571,0
81,660,0.1685,49.1975,76.053,74.1554,0
82,657,0.1678,49.2712,76.0468,74.1873,0
83,654,0.1709,49.2922,75.9258,74.0676,0
84,651,0.1695,49.2961,75.7713,74.0766,0
85,648,0.1721,49.3029,75.8176,74.148,0
86,645,0.1736,49.2697,75.5641,74.0485,0
87,642,0.171,49.3974,75.5244,74.1566,0
